MD,SP,GR,LLD
6200,-81.69,61.01,2.16
6205,-78.28,77.61,1.7
6210,-71.75,90.41,1.46
6215,-59.25,102.64,1.45
6220,-48.85,109.53,1.44
6225,-44.41,111.86,1.42
6230,-44.41,111.86,1.38
6235,-44.08,112.36,1.33
6240,-43.28,113.14,1.19
6245,-42.1,113.14,1
6250,-40.08,110.01,0.91
6255,-38.05,97.88,0.87
6260,-36.03,97.88,0.82
6265,-36.07,97.88,0.78
6270,-37.55,100.68,0.77
6275,-39.03,102.97,0.76
6280,-40.5,102.97,0.76
6285,-45.51,90.55,1.02
6290,-52.41,68,3.48
6295,-68.4,69.4,9.08
6300,-75.86,69.41,14.57
6305,-75.39,70,4.56
6310,-49.57,107.83,2.16
6315,-56.01,109.19,1.9
6320,-55.46,108.3,1.65
6325,-54.62,107.73,1.55
6330,-45.48,109.43,1.39
6335,-42.71,108,1.36
6340,-43.14,105.03,1.79
6345,-48.2,104.32,1.65
6350,-56.1,105.09,1.49
6355,-61.14,105.85,1.43
6360,-53.4,105.8,1.46
6365,-61,108.22,1.41
6370,-61.91,100.4,1.31
6375,-60.34,97.88,1.25
6380,-58.78,97.88,1.25
6385,-52.29,100.79,1.25
6390,-41.67,100.53,1.13
6395,-57.99,90.55,0.88
6400,-81.86,63.07,0.73
6405,-85.57,59.61,0.64
6410,-86,57.95,0.55
6415,-87,58.12,0.67
6420,-83.31,60,0.99
6425,-71.29,71.52,1.16
6430,-67.75,83.05,1.21
6435,-64.2,94.22,1.25
6440,-63.05,103.43,1.24
6445,-63.05,101.35,1.22
